 ```
 Model,EN-DE (BLEU),EN-FR (BLEU),EN-DE (FLOPs),EN-FR (FLOPs)
 ByteNet [18],23.75,,
 Deep-Att + PosUnk [39],,39.2,1.0 · 10^20,1.4 · 10^20 
 GNMT + RL [38],24.6,39.92,2.3 · 10^19,
 ConvS2S [9],25.16,40.46,9.6 · 10^18,1.5 · 10^20
 MoE [32],26.03,40.56,2.0 · 10^19,1.2 · 10^20
 Deep-Att + PosUnk Ensemble [39],,40.4,8.0 · 10^20,
 GNMT + RL Ensemble [38],26.30,41.16,1.8 · 10^20,1.1 · 10^21 
 ConvS2S Ensemble [9],26.36,41.29,7.7 · 10^19,1.2 · 10^21
 Transformer (base model),27.3,38.1,3.3 · 10^18,
 Transformer (big),28.4,41.8,2.3 · 10^19, 
 ``` 
